,coef,std err,t,P>|t|,[0.025,0.975],,,Dep. Variable:,CAPM,  R-squared:         ,0.016
const,0.063300,0.002000,25.915,0,0.059,0.068,,,Model:,OLS,  Adj. R-squared:    ,0.015
revenue,0.000019,0.000003,5.672,0,1.22E-05,2.50E-05,,,Method:,Least Squares,  F-statistic:       ,29.33
costOfRevenue,-0.000009,0.000003,-3.388,0.001,-1.48E-05,-3.96E-06,,,Date:,"Fri, 19 May 2023",  Prob (F-statistic):,5.20E-218
otherExpenses,0.000000,0.000002,-0.209,0.835,-4.95E-06,4.00E-06,,,Time:,10:17:40,  Log-Likelihood:    ,22536
interestIncome,-0.000018,0.000003,-5.487,0,-2.43E-05,-1.15E-05,,,No. Observations:,72538,  AIC:               ,-4.50E+04
weightedAverageShsOut,-0.000006,0.000004,-1.74,0.082,-1.31E-05,7.79E-07,,,Df Residuals:,72497,  BIC:               ,-4.46E+04
cashAndShortTermInvestments,0.000004,0.000002,1.878,0.06,-1.60E-07,7.52E-06,,,Df Model:,40,                     , 
otherCurrentAssets,-0.000002,0.000001,-1.235,0.217,-4.16E-06,9.45E-07,,,Covariance Type:,nonrobust,                     , 
totalCurrentAssets,-0.000001,0.000002,-0.763,0.445,-5.10E-06,2.24E-06,,,,,,
goodwill,-0.000003,0.000001,-2.328,0.02,-5.84E-06,-5.01E-07,,,,,,
intangibleAssets,-0.000001,0.000002,-0.42,0.675,-3.79E-06,2.46E-06,,,,,,
longTermInvestments,-0.000006,0.000001,-4.601,0,-8.84E-06,-3.56E-06,,,,,,
otherAssets,0.000000,0.000001,0.346,0.729,-1.69E-06,2.41E-06,,,,,,
deferredRevenue,0.000002,0.000002,0.863,0.388,-2.61E-06,6.70E-06,,,,,,
otherCurrentLiabilities,-0.000002,0.000001,-1.531,0.126,-4.20E-06,5.16E-07,,,,,,
deferredRevenueNonCurrent,0.000004,0.000003,1.364,0.173,-1.85E-06,1.03E-05,,,,,,
totalNonCurrentLiabilities,0.000002,0.000001,1.744,0.081,-2.25E-07,3.86E-06,,,,,,
capitalLeaseObligations,0.000004,0.000002,1.901,0.057,-1.15E-07,7.53E-06,,,,,,
preferredStock,0.000006,0.000003,2.191,0.028,6.21E-07,1.12E-05,,,,,,
totalInvestments,0.000000,0.000001,-0.367,0.714,-2.34E-06,1.60E-06,,,,,,
netIncome_cf,0.000009,0.000002,4.097,0,4.61E-06,1.31E-05,,,,,,
depreciationAndAmortization_cf,-0.000002,0.000003,-0.551,0.582,-7.88E-06,4.42E-06,,,,,,
deferredIncomeTax,0.000002,0.000003,0.605,0.545,-3.87E-06,7.32E-06,,,,,,
stockBasedCompensation,0.000041,0.000006,7.158,0,3.00E-05,5.26E-05,,,,,,
inventory_cf,0.000007,0.000003,2.859,0.004,2.31E-06,1.24E-05,,,,,,
netCashProvidedByOperatingActivities,0.000003,0.000001,2.545,0.011,7.76E-07,5.98E-06,,,,,,
salesMaturitiesOfInvestments,-0.000002,0.000002,-1.315,0.188,-6.00E-06,1.18E-06,,,,,,
otherFinancingActivites,-0.000003,0.000001,-3.028,0.002,-4.79E-06,-1.03E-06,,,,,,
effectOfForexChangesOnCash,-0.000004,0.000003,-1.418,0.156,-9.03E-06,1.45E-06,,,,,,
daysOfPayablesOutstanding,0.000900,0.000000,3.303,0.001,0,0.001,,,,,,
netProfitMargin,-0.000001,0.000000,-1.475,0.14,-1.27E-06,1.79E-07,,,,,,
freeCashFlowPerShare,0.000000,0.000000,-4.398,0,-3.91E-07,-1.50E-07,,,,,,
capitalExpenditureCoverageRatio,0.000000,0.000000,4.468,0,7.04E-08,1.81E-07,,,,,,
priceEarningsRatio,0.000000,0.000000,-1.697,0.09,-3.95E-11,2.84E-12,,,,,,
close,-0.019500,0.001000,-29.163,0,-0.021,-0.018,,,,,,
totalDividend,0.000009,0.000004,2.398,0.017,1.63E-06,1.62E-05,,,,,,
operatingIncome_TTM,-0.000010,0.000002,-5.937,0,-1.37E-05,-6.92E-06,,,,,,
eps_TTM,0.000600,0.000000,3.031,0.002,0,0.001,,,,,,
YoY_ebitda,0.004400,0.001000,5.656,0,0.003,0.006,,,,,,
YoY_operatingIncome,-0.000034,0.000021,-1.625,0.104,-7.48E-05,6.98E-06,,,,,,
YoY_eps,-0.000087,0.000000,-0.208,0.835,-0.001,0.001,,,,,,
